"","Days to Ship Actual","Sales Forecast","Ship Status","Days to Ship Scheduled","Category","City","Country","Customer Name","Discount","Number of Records","Order Date","Order ID","Postal Code","Product Name","Profit","Quantity","Region","Sales","Segment","Ship Date","Ship Mode","State","Sub-Category"
"4915",2,"$54","Shipped Early",3,"Office Supplies","Seattle","United States","Max Engle","0.00%",1,2015-02-09,"CA-2015-161830",98105,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","$10",2,"West","$36","Consumer","9/26/2015","Second Class","Washington","Art"
"4916",2,"$22","Shipped Early",3,"Office Supplies","Seattle","United States","Max Engle","20.00%",1,2015-02-09,"CA-2015-161830",98105,"Avery Hole Reinforcements","$5",3,"West","$15","Consumer","9/26/2015","Second Class","Washington","Binders"
"4917",2,"$101","Shipped Early",3,"Office Supplies","League City","United States","Maria Bertelson","20.00%",1,2017-02-10,"CA-2017-163125",77573,"Bulldog Vacuum Base Pencil Sharpener","$6",7,"Central","$67","Consumer","43049","Second Class","Texas","Art"
"4918",2,"$380","Shipped Early",3,"Furniture","League City","United States","Maria Bertelson","30.00%",1,2017-02-10,"CA-2017-163125",77573,"Hon Every-Day Chair Series Swivel Task Chairs","-$33",3,"Central","$254","Consumer","43049","Second Class","Texas","Chairs"
"4919",5,"$260","Shipped Early",6,"Furniture","Gaithersburg","United States","Brendan Murry","0.00%",1,2016-02-01,"CA-2016-160304",20877,"Bush Westfield Collection Bookcases, Medium Cherry Finish","$38",3,"East","$174","Corporate","42552","Standard Class","Maryland","Bookcases"
"4920",5,"$347","Shipped Early",6,"Technology","Gaithersburg","United States","Brendan Murry","0.00%",1,2016-02-01,"CA-2016-160304",20877,"GE 30522EE2","$67",2,"East","$232","Corporate","42552","Standard Class","Maryland","Phones"
"4921",4,"$3","Shipped Early",6,"Office Supplies","Chicago","United States","Sonia Cooley","80.00%",1,2017-02-08,"CA-2017-101728",60653,"Binder Posts","-$4",2,"Central","$2","Consumer","8/23/2017","Standard Class","Illinois","Binders"
"4922",4,"$144","Shipped Late",3,"Office Supplies","Huntsville","United States","Mick Hernandez","0.00%",1,2017-02-12,"CA-2017-114055",35810,"14-7/8 x 11 Blue Bar Computer Printout Paper","$46",2,"South","$96","Home Office","12/29/2017","Second Class","Alabama","Paper"
"4923",4,"$5","Shipped Late",3,"Office Supplies","Huntsville","United States","Mick Hernandez","0.00%",1,2017-02-12,"CA-2017-114055",35810,"Assorted Color Push Pins","$1",2,"South","$4","Home Office","12/29/2017","Second Class","Alabama","Fasteners"
"4924",4,"$942","Shipped Late",3,"Office Supplies","Huntsville","United States","Mick Hernandez","0.00%",1,2017-02-12,"CA-2017-114055",35810,"Xerox 1915","$302",6,"South","$629","Home Office","12/29/2017","Second Class","Alabama","Paper"
"4925",4,"$136","Shipped Late",3,"Technology","Huntsville","United States","Mick Hernandez","0.00%",1,2017-02-12,"CA-2017-114055",35810,"AT&T 17929 Lendline Telephone","$24",2,"South","$90","Home Office","12/29/2017","Second Class","Alabama","Phones"
"4926",3,"$22","Shipped Late",1,"Office Supplies","Lawrence","United States","Alex Russell","0.00%",1,2017-02-09,"CA-2017-126438",1841,"Eberhard Faber 3 1/2"" Golf Pencils","$4",2,"East","$15","Corporate","9/13/2017","First Class","Massachusetts","Art"
"4927",4,"$137","Shipped Early",6,"Furniture","Chicago","United States","Mary O'Rourke","50.00%",1,2017-02-10,"CA-2017-117653",60623,"Lesro Round Back Collection Coffee Table, End Table","-$68",1,"Central","$91","Consumer","10/23/2017","Standard Class","Illinois","Tables"
"4928",5,"$29","Shipped Early",6,"Office Supplies","Fairfield","United States","Alan Dominguez","0.00%",1,2017-02-12,"CA-2017-143245",6824,"Xerox 214","$9",3,"East","$19","Home Office","42898","Standard Class","Connecticut","Paper"
"4929",5,"$1,344","Shipped Early",6,"Furniture","Fairfield","United States","Alan Dominguez","0.00%",1,2017-02-12,"CA-2017-143245",6824,"Global Comet Stacking Armless Chair","$251",3,"East","$897","Home Office","42898","Standard Class","Connecticut","Chairs"
"4930",1,"$86","Shipped On Time",1,"Office Supplies","New York City","United States","Katherine Ducich","0.00%",1,2014-02-09,"US-2014-138828",10009,"Newell 324","$16",5,"East","$58","Consumer","41707","First Class","New York","Art"
"4931",1,"$22","Shipped On Time",1,"Office Supplies","New York City","United States","Katherine Ducich","0.00%",1,2014-02-09,"US-2014-138828",10009,"Easy-staple paper","$7",3,"East","$15","Consumer","41707","First Class","New York","Paper"
"4932",5,"$35","Shipped Early",6,"Office Supplies","Seattle","United States","Filia McAdams","0.00%",1,2017-02-03,"CA-2017-143651",98103,"Newell 309","$7",2,"West","$23","Corporate","3/30/2017","Standard Class","Washington","Art"
"4933",6,"$19","Shipped On Time",6,"Office Supplies","Aurora","United States","Zuschuss Carroll","20.00%",1,2015-02-09,"CA-2015-106978",80013,"#10 White Business Envelopes,4 1/8 x 9 1/2","$4",1,"West","$13","Consumer","42104","Standard Class","Colorado","Envelopes"
"4934",6,"$2","Shipped On Time",6,"Office Supplies","Aurora","United States","Zuschuss Carroll","70.00%",1,2015-02-09,"CA-2015-106978",80013,"Wilson Jones Easy Flow II Sheet Lifters","-$1",2,"West","$1","Consumer","42104","Standard Class","Colorado","Binders"
"4935",6,"$7","Shipped On Time",6,"Office Supplies","Aurora","United States","Zuschuss Carroll","20.00%",1,2015-02-09,"CA-2015-106978",80013,"Staples","$1",3,"West","$5","Consumer","42104","Standard Class","Colorado","Fasteners"
"4936",6,"$25","Shipped On Time",6,"Technology","Lehi","United States","Karen Seio","20.00%",1,2015-02-03,"CA-2015-155124",84043,"SmartStand Mobile Device Holder, Assorted Colors","$2",3,"West","$17","Corporate","3/21/2015","Standard Class","Utah","Phones"
"4937",7,"$51","Shipped Late",6,"Office Supplies","Tuscaloosa","United States","Dennis Pardue","0.00%",1,2017-02-01,"CA-2017-150931",35401,"Wilson Jones Turn Tabs Binder Tool for Ring Binders","$16",7,"South","$34","Home Office","1/13/2017","Standard Class","Alabama","Binders"
"4938",5,"$1,986","Shipped Early",6,"Office Supplies","San Francisco","United States","Brian Dahlen","0.00%",1,2014-02-01,"CA-2014-157147",94109,"Tennsco 6- and 18-Compartment Lockers","$239",5,"West","$1,326","Consumer","1/18/2014","Standard Class","California","Storage"
"4939",5,"$500","Shipped Early",6,"Furniture","San Francisco","United States","Brian Dahlen","15.00%",1,2014-02-01,"CA-2014-157147",94109,"O'Sullivan Elevations Bookcase, Cherry Finish","$4",3,"West","$334","Consumer","1/18/2014","Standard Class","California","Bookcases"
"4940",5,"$30","Shipped Early",6,"Office Supplies","San Francisco","United States","Brian Dahlen","0.00%",1,2014-02-01,"CA-2014-157147",94109,"4009 Highlighters by Sanford","$7",5,"West","$20","Consumer","1/18/2014","Standard Class","California","Art"
"4941",7,"$1,900","Shipped Late",6,"Furniture","Wilmington","United States","Ivan Liston","0.00%",1,2015-02-02,"CA-2015-156482",19805,"Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back","$266",9,"East","$1,269","Consumer","2/13/2015","Standard Class","Delaware","Chairs"
"4942",7,"$425","Shipped Late",6,"Furniture","Wilmington","United States","Ivan Liston","0.00%",1,2015-02-02,"CA-2015-156482",19805,"Hon Metal Bookcases, Putty","$82",4,"East","$284","Consumer","2/13/2015","Standard Class","Delaware","Bookcases"
"4943",7,"$9","Shipped Late",6,"Office Supplies","Wilmington","United States","Ivan Liston","0.00%",1,2015-02-02,"CA-2015-156482",19805,"SANFORD Liquid Accent Tank-Style Highlighters","$2",2,"East","$6","Consumer","2/13/2015","Standard Class","Delaware","Art"
"4944",6,"$562","Shipped On Time",6,"Office Supplies","Lafayette","United States","Liz Preis","0.00%",1,2017-02-12,"CA-2017-106782",47905,"Tennsco Single-Tier Lockers","$19",1,"Central","$375","Consumer","12/27/2017","Standard Class","Indiana","Storage"
"4945",1,"$144","Shipped On Time",1,"Office Supplies","Redondo Beach","United States","Joseph Holt","0.00%",1,2016-02-09,"CA-2016-151372",90278,"14-7/8 x 11 Blue Bar Computer Printout Paper","$46",2,"West","$96","Consumer","42530","First Class","California","Paper"
"4946",1,"$17","Shipped On Time",1,"Office Supplies","Redondo Beach","United States","Joseph Holt","20.00%",1,2016-02-09,"CA-2016-151372",90278,"Angle-D Binders with Locking Rings, Label Holders","$4",2,"West","$12","Consumer","42530","First Class","California","Binders"
"4947",1,"$7","Shipped On Time",1,"Office Supplies","Redondo Beach","United States","Joseph Holt","0.00%",1,2016-02-09,"CA-2016-151372",90278,"Advantus Push Pins","$2",2,"West","$4","Consumer","42530","First Class","California","Fasteners"
"4948",5,"$44","Shipped Early",6,"Office Supplies","Seattle","United States","Joy Daniels","0.00%",1,2014-02-10,"CA-2014-102085",98115,"Avery 519","$14",4,"West","$29","Consumer","41892","Standard Class","Washington","Labels"
"4949",5,"$176","Shipped Early",6,"Office Supplies","Los Angeles","United States","Bill Donatelli","20.00%",1,2017-02-11,"CA-2017-107125",90045,"Premium Transparent Presentation Covers by GBC","$41",7,"West","$117","Consumer","42778","Standard Class","California","Binders"
"4950",5,"$28","Shipped Early",6,"Furniture","Los Angeles","United States","Bill Donatelli","0.00%",1,2017-02-11,"CA-2017-107125",90045,"Eldon 200 Class Desk Accessories","$6",3,"West","$19","Consumer","42778","Standard Class","California","Furnishings"
"4951",4,"$19","Shipped Late",3,"Office Supplies","New York City","United States","Denise Leinenbach","0.00%",1,2016-02-10,"CA-2016-125815",10009,"BIC Brite Liner Highlighters","$5",3,"East","$12","Consumer","42380","Second Class","New York","Art"
"4952",4,"$19","Shipped Early",6,"Office Supplies","Royal Oak","United States","Nathan Cano","0.00%",1,2015-02-06,"CA-2015-144190",48073,"Xerox 1995","$6",2,"Central","$13","Consumer","6/13/2015","Standard Class","Michigan","Paper"
"4953",4,"$104","Shipped Late",3,"Office Supplies","San Francisco","United States","Alan Schoenberger","0.00%",1,2017-02-12,"CA-2017-117926",94109,"Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors","$21",1,"West","$69","Corporate","43081","Second Class","California","Appliances"
"4954",4,"$129","Shipped Early",6,"Technology","New York City","United States","Michael Stewart","0.00%",1,2015-02-03,"CA-2015-153906",10009,"Plantronics MX500i Earset","$3",2,"East","$86","Corporate","3/20/2015","Standard Class","New York","Phones"
"4955",4,"$27","Shipped Late",3,"Office Supplies","North Las Vegas","United States","Thomas Seio","0.00%",1,2014-02-06,"CA-2014-160262",89031,"DIXON Oriole Pencils","$5",7,"West","$18","Corporate","6/13/2014","Second Class","Nevada","Art"
"4956",4,"$119","Shipped Late",3,"Office Supplies","North Las Vegas","United States","Thomas Seio","0.00%",1,2014-02-06,"CA-2014-160262",89031,"Xerox 1909","$36",3,"West","$79","Corporate","6/13/2014","Second Class","Nevada","Paper"
"4957",4,"$56","Shipped Late",3,"Furniture","North Las Vegas","United States","Thomas Seio","0.00%",1,2014-02-06,"CA-2014-160262",89031,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock","$14",2,"West","$37","Corporate","6/13/2014","Second Class","Nevada","Furnishings"
"4958",6,"$4","Shipped On Time",6,"Office Supplies","Carrollton","United States","Joe Kamberova","80.00%",1,2015-02-03,"CA-2015-127607",75007,"GBC Standard Plastic Binding Systems' Combs","-$4",2,"Central","$3","Consumer","3/26/2015","Standard Class","Texas","Binders"
"4959",6,"$28","Shipped On Time",6,"Office Supplies","Carrollton","United States","Joe Kamberova","20.00%",1,2015-02-03,"CA-2015-127607",75007,"Staples","$6",9,"Central","$19","Consumer","3/26/2015","Standard Class","Texas","Fasteners"
"4960",4,"$92","Shipped Early",6,"Technology","Los Angeles","United States","Tracy Collins","20.00%",1,2016-02-11,"CA-2016-166226",90008,"Grandstream GXP2100 Mainstream Business Phone","$6",1,"West","$61","Home Office","11/22/2016","Standard Class","California","Phones"
"4961",4,"$102","Shipped Early",6,"Office Supplies","Los Angeles","United States","Tracy Collins","0.00%",1,2016-02-11,"CA-2016-166226",90008,"Fellowes Command Center 5-outlet power strip","$18",1,"West","$68","Home Office","11/22/2016","Standard Class","California","Appliances"
"4962",1,"$73","Shipped On Time",1,"Furniture","Seattle","United States","Aaron Bergman","20.00%",1,2014-02-03,"CA-2014-156587",98103,"Global Push Button Manager's Chair, Indigo","$5",1,"West","$49","Consumer","41854","First Class","Washington","Chairs"
"4963",1,"$27","Shipped On Time",1,"Office Supplies","Seattle","United States","Aaron Bergman","0.00%",1,2014-02-03,"CA-2014-156587",98103,"Newell 330","$5",3,"West","$18","Consumer","41854","First Class","Washington","Art"
"4964",1,"$364","Shipped On Time",1,"Office Supplies","Seattle","United States","Aaron Bergman","0.00%",1,2014-02-03,"CA-2014-156587",98103,"Carina 42""Hx23 3/4""W Media Storage Unit","$5",3,"West","$243","Consumer","41854","First Class","Washington","Storage"
"4965",4,"$12","Shipped Late",3,"Office Supplies","Fort Lauderdale","United States","Darren Powers","70.00%",1,2016-02-05,"CA-2016-141180",33311,"GBC Instant Report Kit","-$5",4,"South","$8","Consumer","5/19/2016","Second Class","Florida","Binders"
"4966",3,"$699","Shipped On Time",3,"Technology","Columbia","United States","Craig Yedwab","20.00%",1,2015-02-05,"CA-2015-109708",38401,"Wi-Ex zBoost YX540 Cellular Phone Signal Booster","$58",4,"South","$467","Corporate","5/28/2015","Second Class","Tennessee","Phones"
"4967",3,"$193","Shipped On Time",3,"Technology","Providence","United States","Brad Eason","0.00%",1,2015-02-08,"CA-2015-122406",2908,"Plantronics MX500i Earset","$4",3,"East","$129","Home Office","42132","Second Class","Rhode Island","Phones"
"4968",3,"$13","Shipped On Time",3,"Office Supplies","Providence","United States","Brad Eason","0.00%",1,2015-02-08,"CA-2015-122406",2908,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad","$4",2,"East","$8","Home Office","42132","Second Class","Rhode Island","Paper"
"4969",3,"$299","Shipped On Time",3,"Technology","Providence","United States","Brad Eason","0.00%",1,2015-02-08,"CA-2015-122406",2908,"Logitech G700s Rechargeable Gaming Mouse","$84",2,"East","$200","Home Office","42132","Second Class","Rhode Island","Accessories"
"4970",3,"$166","Shipped On Time",3,"Furniture","Providence","United States","Brad Eason","0.00%",1,2015-02-08,"CA-2015-122406",2908,"Office Star Flex Back Scooter Chair with White Frame","$16",1,"East","$111","Home Office","42132","Second Class","Rhode Island","Chairs"
"4971",3,"$311","Shipped Late",1,"Furniture","Jacksonville","United States","Kelly Lampkin","20.00%",1,2016-02-11,"US-2016-153815",32216,"High-Back Leather Manager's Chair","-$29",2,"South","$208","Corporate","42624","First Class","Florida","Chairs"
"4972",3,"$54","Shipped Late",1,"Office Supplies","Jacksonville","United States","Kelly Lampkin","20.00%",1,2016-02-11,"US-2016-153815",32216,"Embossed Ink Jet Note Cards","$13",2,"South","$36","Corporate","42624","First Class","Florida","Paper"
"4973",3,"$53","Shipped Late",1,"Furniture","Jacksonville","United States","Kelly Lampkin","20.00%",1,2016-02-11,"US-2016-153815",32216,"Executive Impressions 14"" Contract Wall Clock","$6",2,"South","$36","Corporate","42624","First Class","Florida","Furnishings"
"4974",3,"$133","Shipped Late",1,"Office Supplies","Jacksonville","United States","Kelly Lampkin","20.00%",1,2016-02-11,"US-2016-153815",32216,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box","$31",2,"South","$89","Corporate","42624","First Class","Florida","Paper"
"4975",5,"$19","Shipped Early",6,"Office Supplies","Oceanside","United States","Penelope Sewall","0.00%",1,2016-02-11,"CA-2016-164896",92054,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book","$6",2,"West","$13","Home Office","42715","Standard Class","California","Paper"
"4976",5,"$1,074","Shipped Late",3,"Technology","Jacksonville","United States","Justin Ritter","20.00%",1,2015-02-09,"CA-2015-142202",32216,"Enermax Acrylux Wireless Keyboard","$152",9,"South","$717","Corporate","9/23/2015","Second Class","Florida","Accessories"
"4977",2,"$32","Shipped Late",1,"Office Supplies","New York City","United States","Alan Hwang","20.00%",1,2015-02-12,"CA-2015-165050",10024,"Pressboard Data Binders by Wilson Jones","$7",5,"East","$21","Consumer","42259","First Class","New York","Binders"
"4978",2,"$10","Shipped Late",1,"Office Supplies","New York City","United States","Alan Hwang","20.00%",1,2015-02-12,"CA-2015-165050",10024,"Avery Durable Slant Ring Binders With Label Holder","$2",2,"East","$7","Consumer","42259","First Class","New York","Binders"
"4979",2,"$1,159","Shipped Late",1,"Technology","New York City","United States","Alan Hwang","0.00%",1,2015-02-12,"CA-2015-165050",10024,"Digium D40 VoIP phone","$224",6,"East","$774","Consumer","42259","First Class","New York","Phones"
"4980",4,"$31","Shipped Late",3,"Office Supplies","Chicago","United States","Rob Williams","20.00%",1,2016-02-12,"US-2016-131114",60610,"Acme Office Executive Series Stainless Steel Trimmers","$2",3,"Central","$21","Corporate","12/13/2016","Second Class","Illinois","Supplies"
"4981",4,"$7","Shipped Late",3,"Office Supplies","Chicago","United States","Rob Williams","80.00%",1,2016-02-12,"US-2016-131114",60610,"Belkin 6 Outlet Metallic Surge Strip","-$12",2,"Central","$4","Corporate","12/13/2016","Second Class","Illinois","Appliances"
"4982",4,"$29","Shipped Late",3,"Technology","Chicago","United States","Rob Williams","20.00%",1,2016-02-12,"US-2016-131114",60610,"Kingston Digital DataTraveler 8GB USB 2.0","-$1",4,"Central","$19","Corporate","12/13/2016","Second Class","Illinois","Accessories"
"4983",6,"$8","Shipped On Time",6,"Office Supplies","Huntington Beach","United States","Adam Hart","0.00%",1,2014-02-11,"CA-2014-160066",92646,"Permanent Self-Adhesive File Folder Labels for Typewriters by Universal","$2",2,"West","$5","Corporate","11/22/2014","Standard Class","California","Labels"
"4984",4,"$127","Shipped Late",3,"Office Supplies","San Diego","United States","Irene Maddox","0.00%",1,2016-02-11,"CA-2016-109925",92105,"Eldon Portable Mobile Manager","$23",3,"West","$85","Consumer","42654","Second Class","California","Storage"
"4985",4,"$11","Shipped Early",6,"Office Supplies","Nashville","United States","Cyma Kinney","20.00%",1,2015-02-09,"CA-2015-160696",37211,"Assorted Color Push Pins","$1",5,"South","$7","Corporate","42286","Standard Class","Tennessee","Fasteners"
"4986",0,"$22","Shipped On Time",0,"Office Supplies","New York City","United States","Allen Goldenen","0.00%",1,2014-02-09,"CA-2014-125171",10009,"Avery 514","$7",5,"East","$14","Consumer","41707","Same Day","New York","Labels"
"4987",4,"$23","Shipped Early",6,"Office Supplies","Colorado Springs","United States","Craig Leslie","20.00%",1,2016-02-04,"CA-2016-149279",80906,"Xerox 226","$5",3,"West","$16","Home Office","4/28/2016","Standard Class","Colorado","Paper"
"4988",4,"$1,985","Shipped Early",6,"Furniture","Colorado Springs","United States","Craig Leslie","20.00%",1,2016-02-04,"CA-2016-149279",80906,"SAFCO Arco Folding Chair","$149",6,"West","$1,326","Home Office","4/28/2016","Standard Class","Colorado","Chairs"
"4989",4,"$5","Shipped Early",6,"Office Supplies","Colorado Springs","United States","Craig Leslie","70.00%",1,2016-02-04,"CA-2016-149279",80906,"Wilson Jones Impact Binders","-$2",2,"West","$3","Home Office","4/28/2016","Standard Class","Colorado","Binders"
"4990",4,"$10","Shipped Early",6,"Office Supplies","San Francisco","United States","Arthur Wiediger","20.00%",1,2017-02-08,"CA-2017-107321",94110,"Acco Suede Grain Vinyl Round Ring Binder","$2",3,"West","$7","Home Office","42834","Standard Class","California","Binders"
"4991",4,"$1,032","Shipped Early",6,"Technology","San Francisco","United States","Arthur Wiediger","20.00%",1,2017-02-08,"CA-2017-107321",94110,"Aastra 6757i CT Wireless VoIP phone","$78",4,"West","$689","Home Office","42834","Standard Class","California","Phones"
"4992",6,"$2,830","Shipped On Time",6,"Office Supplies","Chicago","United States","Henry Goldwyn","80.00%",1,2017-02-12,"US-2017-122714",60653,"Ibico EPK-21 Electric Binding System","-$2,929",5,"Central","$1,890","Corporate","12/13/2017","Standard Class","Illinois","Binders"
"4993",7,"$84","Shipped Late",6,"Office Supplies","Memphis","United States","Robert Barroso","20.00%",1,2015-02-12,"CA-2015-153038",38109,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","$19",8,"South","$56","Corporate","12/25/2015","Standard Class","Tennessee","Envelopes"
"4994",7,"$28","Shipped Late",6,"Office Supplies","Memphis","United States","Robert Barroso","20.00%",1,2015-02-12,"CA-2015-153038",38109,"Avery 507","$6",8,"South","$18","Corporate","12/25/2015","Standard Class","Tennessee","Labels"
"4995",7,"$30","Shipped Late",6,"Furniture","Memphis","United States","Robert Barroso","20.00%",1,2015-02-12,"CA-2015-153038",38109,"Master Caster Door Stop, Brown","$4",5,"South","$20","Corporate","12/25/2015","Standard Class","Tennessee","Furnishings"
"4996",6,"$78","Shipped On Time",6,"Office Supplies","New York City","United States","Sam Zeldin","20.00%",1,2014-02-11,"CA-2014-132227",10011,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""","$19",4,"East","$52","Home Office","41923","Standard Class","New York","Binders"
"4997",5,"$73","Shipped Early",6,"Office Supplies","Raleigh","United States","Karen Seio","20.00%",1,2017-02-03,"CA-2017-155824",27604,"Euro Pro Shark Stick Mini Vacuum","$4",1,"South","$49","Corporate","3/15/2017","Standard Class","North Carolina","Appliances"
"4998",5,"$20","Shipped Early",6,"Office Supplies","Raleigh","United States","Karen Seio","70.00%",1,2017-02-03,"CA-2017-155824",27604,"Heavy-Duty E-Z-D Binders","-$10",4,"South","$13","Corporate","3/15/2017","Standard Class","North Carolina","Binders"
"4999",4,"$164","Shipped Early",6,"Technology","Los Angeles","United States","Sample Company A","20.00%",1,2016-02-01,"CA-2016-129238",90045,"AT&T 1080 Phone","$8",1,"West","$110","Home Office","42462","Standard Class","California","Phones"
"5000",4,"$85","Shipped Early",6,"Office Supplies","Los Angeles","United States","Sample Company A","0.00%",1,2016-02-01,"CA-2016-129238",90045,"Easy-staple paper","$28",5,"West","$57","Home Office","42462","Standard Class","California","Paper"
"5001",5,"$120","Shipped Early",6,"Technology","Los Angeles","United States","Adam Bellavance","0.00%",1,2017-02-05,"CA-2017-159688",90004,"Logitech G600 MMO Gaming Mouse","$29",1,"West","$80","Home Office","43074","Standard Class","California","Accessories"
"5002",0,"$104","Shipped On Time",0,"Office Supplies","Newport News","United States","Eugene Hildebrand","0.00%",1,2016-02-05,"CA-2016-136126",23602,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L","$20",5,"South","$70","Home Office","5/24/2016","Same Day","Virginia","Supplies"
"5003",0,"$287","Shipped On Time",0,"Office Supplies","Newport News","United States","Eugene Hildebrand","0.00%",1,2016-02-05,"CA-2016-136126",23602,"Xerox 1911","$92",4,"South","$192","Home Office","5/24/2016","Same Day","Virginia","Paper"
"5004",5,"$16","Shipped Early",6,"Office Supplies","Los Angeles","United States","Cindy Chapman","0.00%",1,2016-02-10,"CA-2016-155033",90032,"Astroparche Fine Business Paper","$5",2,"West","$11","Consumer","42714","Standard Class","California","Paper"
"5005",2,"$72","Shipped Early",3,"Technology","Jackson","United States","Tamara Manning","0.00%",1,2014-02-04,"CA-2014-156006",39212,"Maxell 4.7GB DVD-RW 3/Pack","$16",3,"South","$48","Consumer","41675","Second Class","Mississippi","Accessories"
"5006",4,"$1,070","Shipped Late",3,"Office Supplies","Richmond","United States","Steve Chapman","0.00%",1,2015-02-11,"CA-2015-158659",47374,"Letter Size Cart","$207",5,"Central","$714","Corporate","11/14/2015","Second Class","Indiana","Storage"
"5007",5,"$3,477","Shipped Early",6,"Technology","New York City","United States","Dean percer","0.00%",1,2015-02-11,"CA-2015-169796",10035,"Zebra ZM400 Thermal Label Printer","$1,115",2,"East","$2,322","Home Office","11/14/2015","Standard Class","New York","Machines"
"5008",5,"$27","Shipped Early",6,"Office Supplies","New York City","United States","Dean percer","0.00%",1,2015-02-11,"CA-2015-169796",10035,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H","$3",3,"East","$18","Home Office","11/14/2015","Standard Class","New York","Storage"
"5009",7,"$14","Shipped Late",6,"Office Supplies","Philadelphia","United States","Lisa Ryan","70.00%",1,2015-02-09,"CA-2015-102876",19134,"GBC Wire Binding Strips","-$7",1,"East","$10","Corporate","9/14/2015","Standard Class","Pennsylvania","Binders"
"5010",7,"$1,186","Shipped Late",6,"Technology","Philadelphia","United States","Lisa Ryan","40.00%",1,2015-02-09,"CA-2015-102876",19134,"Samsung Galaxy Note 3","-$132",6,"East","$792","Corporate","9/14/2015","Standard Class","Pennsylvania","Phones"
"5011",7,"$7","Shipped Late",6,"Office Supplies","Philadelphia","United States","Lisa Ryan","70.00%",1,2015-02-09,"CA-2015-102876",19134,"Angle-D Ring Binders","-$4",3,"East","$5","Corporate","9/14/2015","Standard Class","Pennsylvania","Binders"
"5012",2,"$314","Shipped Late",1,"Furniture","Phoenix","United States","Todd Sumrall","70.00%",1,2017-02-05,"US-2017-139647",85023,"Bestar Classic Bookcase","-$357",7,"West","$210","Corporate","5/13/2017","First Class","Arizona","Bookcases"
"5013",5,"$51","Shipped Early",6,"Office Supplies","Cleveland","United States","Sean Wendt","70.00%",1,2017-02-07,"US-2017-160465",44105,"Vinyl Sectional Post Binders","-$23",3,"East","$34","Home Office","7/26/2017","Standard Class","Ohio","Binders"
"5014",5,"$333","Shipped Early",6,"Office Supplies","Cleveland","United States","Sean Wendt","20.00%",1,2017-02-07,"US-2017-160465",44105,"Letter Size File","$25",7,"East","$222","Home Office","7/26/2017","Standard Class","Ohio","Storage"
"5015",5,"$315","Shipped Early",6,"Technology","Cleveland","United States","Sean Wendt","40.00%",1,2017-02-07,"US-2017-160465",44105,"Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black","-$53",6,"East","$211","Home Office","7/26/2017","Standard Class","Ohio","Phones"
"5016",5,"$53","Shipped Early",6,"Furniture","Toledo","United States","Thea Hendricks","20.00%",1,2014-02-11,"CA-2014-153850",43615,"Eldon 200 Class Desk Accessories, Burgundy","$10",7,"East","$35","Consumer","11/29/2014","Standard Class","Ohio","Furnishings"
"5017",5,"$2,250","Shipped Early",6,"Technology","Toledo","United States","Thea Hendricks","40.00%",1,2014-02-11,"CA-2014-153850",43615,"Samsung Galaxy S4","-$250",4,"East","$1,502","Consumer","11/29/2014","Standard Class","Ohio","Phones"
"5018",3,"$15","Shipped Late",1,"Furniture","Los Angeles","United States","Shahid Shariari","0.00%",1,2014-02-11,"CA-2014-127558",90008,"Eldon 100 Class Desk Accessories","$3",3,"West","$10","Consumer","11/18/2014","First Class","California","Furnishings"
"5019",3,"$1,157","Shipped Late",1,"Technology","Los Angeles","United States","Shahid Shariari","0.00%",1,2014-02-11,"CA-2014-127558",90008,"Logitech P710e Mobile Speakerphone","$147",3,"West","$772","Consumer","11/18/2014","First Class","California","Accessories"
"5020",3,"$31","Shipped Late",1,"Office Supplies","Los Angeles","United States","Shahid Shariari","0.00%",1,2014-02-11,"CA-2014-127558",90008,"Acme Box Cutter Scissors","$5",2,"West","$20","Consumer","11/18/2014","First Class","California","Supplies"
"5021",2,"$521","Shipped Early",3,"Office Supplies","New York City","United States","Mary Zewe","0.00%",1,2017-02-03,"CA-2017-136511",10011,"Premier Electric Letter Opener","$17",3,"East","$348","Corporate","3/25/2017","Second Class","New York","Supplies"
"5022",6,"$109","Shipped On Time",6,"Technology","San Diego","United States","Jeremy Ellison","0.00%",1,2016-02-12,"CA-2016-133795",92037,"SanDisk Cruzer 64 GB USB Flash Drive","$22",2,"West","$73","Consumer","12/24/2016","Standard Class","California","Accessories"
